geneName	90m-OKF6.control-Candida.SC5314.rep1	90m-OKF6.control-Candida.SC5314.rep2	90m-OKF6.infected-Candida.SC5314.rep1	90m-OKF6.infected-Candida.SC5314.rep2	5h-OKF6.control-Candida.SC5314.rep1	5h-OKF6.control-Candida.SC5314.rep2	5h-OKF6.infected-Candida.SC5314.rep1	5h-OKF6.infected-Candida.SC5314.rep2	8h-OKF6.control-Candida.SC5314.rep1	8h-OKF6.control-Candida.SC5314.rep2	8h-OKF6.infected-Candida.SC5314.rep1	8h-OKF6.infected-Candida.SC5314.rep2
CAALFM_C100070WA	379.8848566	363.496834	603.7872326	453.2833244	229.2968416	353.5683388	487.5981343	419.6055714	239.225453	221.7821268	512.0389696	321.1138128
CAALFM_C100100CA	51.3319475	53.4786864	60.3964482	56.3329488	23.2700753	21.1098938	24.0065876	33.1386841	24.4031694	29.0219505	48.1556803	28.6435643
CAALFM_C100120CA	152.9460608	115.5255602	241.8993732	140.4454201	132.2592082	160.2782837	222.3964313	209.5103221	97.7222733	115.6548927	159.3124457	164.606861
CAALFM_C100170WA	17.9108425	15.0945616	19.5144033	12.9911075	4.4799531	25.0283475	3.8662688	33.3288665	1.995808	6.4671934	3.0122441	5.4685413
CAALFM_C100310WA	14.8284791	18.4361881	14.9314769	14.9619817	40.2528706	45.507219	52.9938047	36.3179833	61.4030403	45.7950527	54.998668	43.73741
CAALFM_C100340WA	191.2006789	220.1682042	240.3331108	225.8778635	104.9279897	147.7132321	179.0587758	179.6871156	114.6440912	160.2935568	130.3737908	137.0914528
CAALFM_C100500CA	69.3142116	52.9066374	57.1674603	44.0523708	84.3899199	148.3553488	83.0693373	157.0715314	48.9896558	67.9591794	43.8139484	60.7580755
CAALFM_C100510WA	51.4117066	44.4666271	42.8939434	47.4356175	28.2165312	55.9322256	25.6564173	52.4037974	17.982839	23.2691694	20.7124373	21.7137823
CAALFM_C100610WA	119.6711881	102.6523491	118.9107937	98.4921716	130.4562157	122.6524033	174.4277559	119.724631	196.3694445	132.8362157	198.1454883	159.9481245
CAALFM_C100630WA	10.1584892	6.4770754	7.6256658	6.242247	22.2788987	22.668952	20.3442643	19.9556405	16.1790243	26.0903552	16.2668405	22.6890387
CAALFM_C100740CA	169.0114877	204.5889415	76.0518293	169.0414036	103.9469513	165.0949128	50.0585643	148.3593023	96.2078384	147.8042901	53.0133777	105.1801752
CAALFM_C101330CA	145.8063707	118.0578325	114.3122584	117.4890288	135.2721437	115.4041702	109.1218558	123.5998212	96.4814272	121.438402	77.7941802	92.8256416
CAALFM_C101530CA	230.3535391	250.3318483	175.4270121	250.3923794	116.0237331	232.5028601	97.7309603	210.0791869	107.9512095	161.1998545	119.7503088	147.0392873
CAALFM_C101690CA	800.3145141	699.0542951	529.1929959	667.8608829	499.2625171	661.385663	464.1836428	663.6649401	338.1115027	412.6014383	368.823739	545.7250115
CAALFM_C101740WA	0.9426501	0.1723141	0.7826291	0.0121274	3.4795364	1.5489693	6.0829925	0.6051268	48.8752501	15.0550802	44.3156403	16.0798681
CAALFM_C101780CA	123.4327044	144.4328538	98.9112024	126.7918152	108.2811565	93.972851	125.9045236	63.2709004	186.1815939	141.9981005	161.1412223	145.9377542
CAALFM_C101810CA	6.9546972	6.742876	5.0172914	3.2914079	62.5414861	47.6593329	53.0922057	46.6002216	65.5358309	72.5792829	50.4078335	65.553276
CAALFM_C101870CA	320.7534413	313.9215028	190.5895863	299.1918332	165.5338413	334.1574651	114.1879294	260.7650761	185.9294562	311.3049184	139.4145006	246.0583306
CAALFM_C101920WA	20.1322836	19.1168234	18.2595105	19.242743	12.8211447	11.8615755	18.503149	16.6374175	19.850922	15.7609101	26.2290219	10.7128894
CAALFM_C101980WA	615.3411369	515.2119256	691.9632651	465.0200823	2088.8208529	735.2608391	2261.4474491	281.2582753	2472.543646	2537.0982349	1832.5248447	2502.5597871
CAALFM_C101990WA	0.1329709	0.1521268	0.1428683	0.0282267	0.2591561	0.1325452	1.3383354	0.2088215	10.3301169	2.8822894	3.8272876	2.3543586
CAALFM_C102020WA	18.5419892	16.5803976	9.7320703	13.1879828	21.038816	23.3900806	15.3919543	21.0718462	28.4926566	23.2291169	19.4700231	21.0900252
CAALFM_C102030CA	0	0	0	0	0	0	0	0	0	0	0	0
CAALFM_C102050CA	43.9998322	45.8374624	34.7737829	45.3429934	61.7520661	63.846465	43.6277376	48.2499332	78.4643688	107.7155555	65.2831304	93.7760749
CAALFM_C102070WA	0.4347777	0.305895	0.1373939	0.4071761	32.3495161	1.4403701	92.4420456	0.5041861	586.2981056	35.6092861	581.0232401	84.8931837
CAALFM_C102110CA	1.9380196	0.4243467	1.565618	0.9898274	68.5280862	22.789604	55.8855738	2.7557733	24.2970661	39.1761733	17.8705995	34.2699492
CAALFM_C102150WA	18.0772877	13.3804244	18.8285831	9.9667512	114.6125763	54.3099183	103.3189424	36.3880456	105.5572431	91.9479915	82.14827	97.6689569
CAALFM_C102320CA	28.4041583	24.3934754	14.9897861	21.3885434	56.3361346	53.2631279	45.0447409	38.1762038	84.3162981	70.7908109	59.9337795	77.979844
CAALFM_C102420CA	120.1256751	116.6619759	131.5249141	122.3714415	106.1905468	67.2635164	96.095649	101.7587157	103.7627888	154.6305669	91.9577173	143.3273161
CAALFM_C102480WA	329.9086107	350.1384579	99.7691623	248.3288784	144.4495548	303.9484733	48.4254297	247.2015503	113.1715949	202.3880519	38.9591653	122.7438708
CAALFM_C102530CA	162.8235559	132.9106847	126.8608575	109.2065829	244.9804138	128.6928367	244.565899	98.083374	790.0600327	569.4398656	737.9467097	568.2253907
CAALFM_C102570CA	7.1005564	5.8001413	6.2872315	4.4351501	8.4655242	8.847279	8.4048498	7.4640423	15.1640578	10.9019358	10.5855925	10.8807215
CAALFM_C102580WA	0.4886682	0.3011803	0.7292238	0.1920981	1.199317	1.3981679	1.3582278	0.5775296	3.3150624	1.6847253	2.2126729	2.4120753
CAALFM_C102590CA	191.380386	183.953618	130.606246	121.897007	436.4672365	811.5029052	374.1529771	570.0227848	652.5999499	688.2630186	551.0495874	841.2619846
CAALFM_C102600WA	23.1134212	14.6985135	14.4229419	8.7077835	60.8643548	107.5354112	38.984035	48.3095939	123.6480918	75.7930674	60.649254	96.4596503
CAALFM_C102620CA	216.4926419	209.9720899	96.3421966	168.2031395	111.0724186	270.6281328	54.5474633	277.7889368	61.6498061	95.3043627	51.4446548	75.1537035
CAALFM_C102710WA	357.0826829	386.6185367	240.3003503	359.8371564	202.3961192	339.5944758	157.7014781	345.173813	158.7458254	203.6502012	142.5554905	194.0284472
CAALFM_C102820WA	30.9722866	34.9431638	25.6261628	24.7008592	33.0220615	79.6707015	44.8974028	81.965398	51.7724531	68.096831	68.266061	74.5901149
CAALFM_C102840WA	21.9750675	53.7062606	24.1885216	64.6222625	43.0953815	21.7588074	57.3670837	45.7887439	104.4613104	77.7402093	86.6684793	60.2954932
