ModelGeneID,90m-HUVEC.control-Candida.SC5314.rep1,90m-HUVEC.control-Candida.SC5314.rep2,90m-HUVEC.infected-Candida.SC5314.rep1,90m-HUVEC.infected-Candida.SC5314.rep2,5h-HUVEC.control-Candida.SC5314.rep1,5h-HUVEC.control-Candida.SC5314.rep2,5h-HUVEC.infected-Candida.SC5314.rep1,5h-HUVEC.infected-Candida.SC5314.rep2,8h-HUVEC.control-Candida.SC5314.rep1,8h-HUVEC.control-Candida.SC5314.rep2,8h-HUVEC.infected-Candida.SC5314.rep1,8h-HUVEC.infected-Candida.SC5314.rep2
CAALFM_C100070WA,304.5701699,371.4909545,570.9564136,400.9049967,275.1048466,394.5585333,411.2146035,453.8294012,203.0220407,371.7913406,381.1808118,347.1556208
CAALFM_C100100CA,30.5702811,74.2872205,46.4350779,77.3198044,14.2899098,51.4297326,20.9548005,50.049958,36.7509972,28.8396882,42.1020657,26.0686777
CAALFM_C100120CA,141.8489158,143.2904635,259.217919,135.3710692,141.4926378,159.3882221,192.2027237,187.5333147,72.7377224,140.3964035,140.699195,112.0383585
CAALFM_C100170WA,7.5114056,4.3970334,7.2425732,4.060783,1.4284519,1.1729418,1.6975665,1.3149469,0.4629517,0.1949775,1.0917274,0.2731719
CAALFM_C100310WA,15.0055114,18.4672017,15.1435151,14.9262527,51.9785597,39.3526357,42.2080329,46.8152614,39.5535944,53.2427096,42.5758437,59.0844747
CAALFM_C100340WA,120.5009256,146.4122872,153.8302564,165.3874047,115.0708692,136.9823806,157.2958882,138.6342795,127.3646007,118.1212853,180.8970211,105.4769241
CAALFM_C100500CA,96.6931633,94.4495102,99.1513843,80.8152736,85.6925428,139.3474719,72.0342897,137.0503504,36.4838407,94.3551317,37.5755955,73.7760649
CAALFM_C100510WA,61.6333528,31.3608891,55.3205335,33.3789288,31.3856063,31.1319137,27.7522337,29.6617208,17.2313569,19.9341139,21.317612,15.7721737
CAALFM_C100610WA,167.720921,138.4324049,151.8922077,136.5713638,143.9107984,105.3797994,129.0096199,111.4579646,131.8656633,116.9688006,119.2442973,126.3544866
CAALFM_C100630WA,17.8779188,16.0403558,13.4851127,16.2863682,22.4943624,24.1143991,18.5544135,24.8246495,9.3775634,35.111999,9.842011,18.2385521
CAALFM_C100740CA,117.6279609,132.7955218,63.1892461,138.1279603,105.9638307,142.8617905,51.8657945,109.8627587,111.1105652,84.565148,54.3702064,88.7108785
CAALFM_C101330CA,114.1002297,190.7204101,124.732421,168.6256901,87.5051545,140.3757596,69.9068604,125.564211,67.9598199,78.2215548,59.7177869,65.343318
CAALFM_C101530CA,149.9610783,130.3795433,116.5079216,151.4794631,138.4106008,156.8167275,112.1393035,143.0244805,144.1351074,142.076457,128.6723984,133.0763269
CAALFM_C101690CA,952.84383,1033.6794368,890.9686846,1001.1798303,879.3808761,865.9289001,697.3745769,816.9974088,395.3395815,717.6577147,395.24616,760.387698
CAALFM_C101740WA,1.4530212,0.3730035,1.1557318,0.3416557,15.9367567,0.2093344,15.6338257,0.3099744,47.1716889,1.4669033,19.3890195,3.2375101
CAALFM_C101780CA,201.6129917,167.8855272,140.1910037,190.7250286,305.6680643,104.8958732,229.5798675,155.1754497,381.8476471,382.0010812,285.7133111,356.0018455
CAALFM_C101810CA,18.0720135,16.5187281,10.3212374,11.4256695,52.2080329,42.6496089,38.3151849,43.5456353,33.4877297,57.9838865,26.3842726,52.7595201
CAALFM_C101870CA,277.4012291,242.2282449,165.8691743,257.4929989,300.0660677,221.3439045,187.280906,212.9353145,207.4815248,227.554596,162.8365491,200.7714756
CAALFM_C101920WA,54.730123,37.6331714,61.5196541,42.1156876,19.0521173,29.046685,33.9039261,35.6277701,63.905202,28.9336625,75.6446173,30.1728386
CAALFM_C101980WA,3419.0461331,1141.8625827,2085.1871364,984.7940885,6916.9468551,1007.4114673,4910.773021,1934.1775695,4118.5600656,7495.5423392,4026.9660617,6095.981571
CAALFM_C101990WA,0.4400255,0.2049838,0.1894344,0.2993711,0.349405,0.1923262,0.316553,0.1777525,13.055998,0.3531953,12.0258313,1.2721085
CAALFM_C102020WA,17.1079447,18.0508541,9.0784225,16.1343902,20.7434267,18.7833765,12.4052535,17.730986,16.1107348,17.4548337,11.4931959,12.6855435
CAALFM_C102030CA,0,0,0,0,0,0,0,0,0,0,0,0
CAALFM_C102050CA,57.8157746,51.7985345,43.6350226,49.815623,56.1482347,59.3776263,48.6070739,46.9492659,71.600524,76.5116714,70.8556051,53.3009489
CAALFM_C102070WA,0.5198881,0.1391501,0.4554393,0.0899687,104.7027821,0.1233044,58.662389,0.211163,173.9293627,1.2171208,112.4058506,20.0902856
CAALFM_C102110CA,111.1816506,0.9249502,18.9530633,0.9944466,467.4221069,1.2083573,256.9267026,4.7207811,229.4641442,256.1289231,132.193938,160.2331953
CAALFM_C102150WA,97.3837137,16.9322668,52.9029113,18.3904599,121.0359659,65.1737109,65.926592,130.3496172,59.9725257,121.6849103,56.1934465,109.7196377
CAALFM_C102320CA,50.9816308,29.4403143,25.8815398,30.0089483,88.8641896,33.4122111,50.54831,37.8057353,76.6933995,83.7159956,42.286825,90.895266
CAALFM_C102420CA,132.2570272,126.5877063,182.8769364,130.9205385,68.6891158,132.7470505,123.2381674,106.8958334,138.56048,103.0019977,213.8169189,95.1055228
CAALFM_C102480WA,363.0681316,477.8582063,159.1455418,450.1110676,146.5203969,369.4628955,51.7651421,256.1362087,117.9779358,165.0695847,40.8400622,113.3526634
CAALFM_C102530CA,491.3311519,173.6746153,273.572039,157.6526942,748.3278294,115.97014,642.3246915,120.1387475,831.7383069,421.018646,639.3719684,558.7593981
CAALFM_C102570CA,9.3869412,5.9402375,6.713938,4.962534,12.3505979,6.8618709,9.7981694,6.0363833,9.7322345,10.0839077,7.4713471,10.0918303
CAALFM_C102580WA,1.5572014,0.328242,0.8250921,0.1591708,2.3398491,0.9773019,2.1004611,0.79461,2.1671541,4.9976723,1.5165425,2.2660015
CAALFM_C102590CA,212.3932286,219.7294897,149.5010082,189.7766373,490.1283912,384.782175,384.3987967,334.3373694,224.8535715,458.1487392,233.3415176,417.802256
CAALFM_C102600WA,56.5531816,12.3828302,22.3079953,8.8883538,91.1593039,27.9246487,61.3669362,22.0293269,28.2379471,50.8595926,22.1880545,25.9105662
CAALFM_C102620CA,131.8167397,146.1172271,85.0757488,138.8919669,93.3538835,189.3976783,57.4990803,145.7838826,52.1625836,71.1821048,38.5051619,51.2802246
CAALFM_C102710WA,266.9105758,298.1762102,200.3114991,300.1652859,198.4349196,283.5366369,151.147709,277.7596739,146.4538059,187.8393288,135.8908689,198.5832941
CAALFM_C102820WA,43.436752,26.0458009,35.5000455,25.0583117,35.6626558,37.0019544,54.8859435,34.8203667,46.8929278,39.3567761,53.9085542,43.1230925
CAALFM_C102840WA,25.5545934,32.334643,21.3695487,46.0154008,50.7901484,44.0481315,35.989713,70.2637809,205.3642767,43.4294255,99.6329786,106.8982876
CAALFM_C102930CA,20.6043707,38.6807523,25.6678915,35.4710539,19.8611827,35.1700267,22.349566,39.8406616,32.3930052,42.2684518,27.2378781,40.3341191
CAALFM_C103000WA,5.6125365,6.2847992,6.2540784,5.8547105,8.0441733,10.4739456,6.3907305,8.4334809,9.085193,8.3326558,6.2559382,7.6078288
CAALFM_C103380WA,151.3053439,93.7075378,154.2151115,78.9194605,377.0753262,238.8940318,312.3067088,254.2502402,535.5677187,448.6925863,490.0057078,488.4875028
CAALFM_C103430WA,10.619861,12.8791783,11.2425579,10.3303556,15.1804847,16.2315695,12.8340721,16.1651007,11.0911676,13.9587977,9.944702,10.7124113
CAALFM_C103440CA,75.7769318,86.3193309,67.3986312,83.1037959,96.5098381,89.0242159,79.7825851,94.4915589,77.2541254,94.8034274,74.9250656,77.8086479
CAALFM_C103760CA,78.6128263,70.4283965,41.1844496,75.7915667,66.5945921,53.860743,36.2201174,54.4132337,54.5198777,72.3766951,36.3639917,41.48291
CAALFM_C103780CA,100.9951484,140.4555474,87.5165931,126.5580416,63.3133759,103.0532373,58.9571881,95.0103293,71.4304886,96.7971928,63.2000515,86.0745958
CAALFM_C104200CA,48.004732,96.6525013,38.9644812,72.3615577,53.8956114,86.8517475,46.6013516,70.912396,44.6540125,72.7138391,38.0417677,61.5177464
CAALFM_C104290CA,821.5521568,786.6816479,700.5308025,661.8305645,454.4873444,420.886035,322.6322852,322.5998563,188.8305603,253.0217725,203.7061947,180.8434178
CAALFM_C104420CA,155.6879977,199.9582022,175.4550104,189.7644168,169.2750708,172.0528018,153.3659716,188.0063379,111.2804923,156.4032781,124.36496,137.8476239
CAALFM_C104460CA,3.5282045,1.204865,2.859481,1.7701902,24.0088048,4.3615125,25.1702801,7.1283776,19.5156007,16.050591,22.5235869,19.4170606
CAALFM_C104500WA,2.6396061,1.70917,2.9274531,3.6991074,1699.4835811,9.8388132,2388.891681,16.7137141,1261.1745038,925.0634335,2278.2982455,1003.30123
CAALFM_C104630CA,33.1874852,44.3216938,28.3401264,40.5169313,22.386162,35.1754005,23.6280883,35.5029067,35.3949846,37.6652933,29.9772866,26.5780322
CAALFM_C104660WA,7.4687964,5.0216138,5.7442773,5.5736842,4.2108795,5.2992376,4.8763812,4.9625534,9.4024742,6.6830531,7.6013797,5.1305813
CAALFM_C104730CA,82.7915435,65.6828869,77.4205562,62.6616241,57.3737007,41.5653524,47.6867645,43.5005236,60.9810344,56.7230123,59.6810679,48.5413613
CAALFM_C104770CA,162.8747818,195.690023,150.1444355,171.7967549,65.2917569,213.1367217,54.7547512,146.9762564,175.4407608,92.5949859,123.6013145,97.1747235
CAALFM_C105080WA,6.677032,4.1409801,5.5624615,4.8611014,5.2280185,5.9256505,5.3952059,5.2105413,5.7623059,11.8553216,6.5798903,4.9279139
