ModelGeneID	5h-HUVEC.uninfected.sc.rep1	5h-HUVEC.uninfected.sc.rep2	5h-HUVEC.infected-Candida.SC5314.rep1	5h-HUVEC.infected-Candida.SC5314.rep2
8639.1	0.8520	0.2025	1.9022	0.7880
26.1	0.8703	0.0483	1.8616	0.9323
314.2	1.0623	0.7881	1.4413	0.1032
314.1	1.0623	0.7881	1.4413	0.1032
1591.1	0.1697	0.0000	0.2722	0.0690
1594.1	0.3184	0.4185	0.1310	0.0000
10993.1	0.5115	0.0717	1.0642	0.2737
6818.1	0.0000	0.0240	0.0000	0.0000
89874.1	0.1258	0.1809	0.2063	0.0000
92483.1	0.2364	0.0773	0.6121	0.0000
3948.2	0.3117	0.0808	0.7097	0.0000
55293.1	2.7690	4.6961	2.4100	2.5857
3945.1	127.9989	203.6024	118.5197	55.8025
3939.1	57.9505	80.0183	115.0745	30.4261
160287.1	0.0896	0.1042	0.1220	0.0000
3948.1	0.3117	0.0808	0.7097	0.0000
9123.1	12.9028	13.2220	27.0478	7.9876
9194.1	0.6397	1.0998	0.6627	0.3412
6566.1	37.0636	45.7510	35.4789	9.7571
57835.3	0.0551	0.0403	0.0954	0.0000
8671.1	0.0756	0.0368	0.1455	0.0000
57835.2	0.0551	0.0403	0.0954	0.0000
57835.1	0.0551	0.0403	0.0954	0.0000
57835.4	0.0551	0.0403	0.0954	0.0000
4967.2	15.8473	12.4786	13.2941	0.5791
1738.1	10.3669	15.1812	9.7013	4.9682
8050.1	6.4703	7.2832	5.6318	2.9174
1743.1	20.3368	16.9256	22.0421	6.8106
4967.1	15.8473	12.4786	13.2941	0.5791
130.1	0.0239	0.0070	0.0819	0.0000
127.1	0.0086	0.0000	0.0000	0.0000
125.1	0.0291	0.0000	0.0138	0.0000
124.1	0.0000	0.0205	0.0000	0.0000
131.1	0.0000	0.0000	0.0000	0.0000
126.1	0.0113	0.0000	0.0484	0.0000
128.1	6.4974	8.6450	5.3147	1.8034
137872.1	0.3426	0.5091	0.5407	0.0000
1312.1	21.7975	20.6098	22.0634	8.8683
1312.2	21.7975	20.6098	22.0634	8.8683
117247.1	0.0656	0.0069	0.1323	0.0488
218.1	0.9032	0.2220	0.6670	0.2800
222.1	0.6381	0.0000	1.2813	0.4239
220.1	0.8576	0.6096	0.8977	0.6652
221.1	0.5881	0.3428	1.0608	0.0414
3242.1	0.6889	0.1380	1.9782	0.0000
18.1	0.8258	0.6194	0.7491	0.0844
18.2	0.8258	0.6194	0.7491	0.0844
2531.1	4.7108	4.8869	4.9096	1.5355
23498.1	0.9968	0.1243	1.9668	0.0000
55268.1	0.4824	0.6700	0.9033	0.1896
51166.1	0.2402	0.2996	0.2418	0.0000
883.1	2.4876	2.3517	4.0902	0.9081
51166.2	0.2402	0.2996	0.2418	0.0000
1644.1	0.0873	0.0123	0.2011	0.0000
4128.1	0.7163	1.3955	0.6846	0.0000
4129.1	0.0000	0.0000	0.0312	0.0000
10165.1	4.0594	7.6511	4.9791	1.7001
8604.1	2.5591	5.3545	2.3621	1.9099
51380.1	3.3491	5.1472	5.5420	0.4373
2571.1	0.0383	0.0318	0.0711	0.3660
2572.1	0.0069	0.0000	0.0073	0.0000
2571.2	0.0383	0.0318	0.0711	0.3660
2805.1	10.2190	12.7488	8.6987	3.1677
2806.1	31.7353	24.3619	26.2839	8.3012
8659.1	1.4731	1.2125	1.5877	0.2974
8659.2	1.4731	1.2125	1.5877	0.2974
6799.1	0.7870	0.0271	2.0002	0.0000
6817.3	0.6336	0.2005	0.9052	0.4617
6799.2	0.7870	0.0271	2.0002	0.0000
6818.2	0.0000	0.0240	0.0000	0.0000
6817.2	0.6336	0.2005	0.9052	0.4617
6817.1	0.6336	0.2005	0.9052	0.4617
6817.4	0.6336	0.2005	0.9052	0.4617
6818.3	0.0000	0.0240	0.0000	0.0000
6817.5	0.6336	0.2005	0.9052	0.4617
4363.1	42.2107	38.7899	45.6078	14.7705
6822.1	0.1802	0.0000	0.4762	0.0000
6573.1	3.1843	4.2403	3.8644	1.0131
6573.2	3.1843	4.2403	3.8644	1.0131
316.1	0.1971	0.0208	0.4622	0.0000
6570.1	0.0539	0.0000	0.1498	0.2104
6571.1	0.2860	0.0952	0.6226	0.0000
2348.5	0.2538	0.0000	0.5714	0.0000
2348.3	0.2538	0.0000	0.5714	0.0000
2348.1	0.2538	0.0000	0.5714	0.0000
2348.6	0.2538	0.0000	0.5714	0.0000
2352.1	0.0453	0.0000	0.1936	0.0000
2348.4	0.2538	0.0000	0.5714	0.0000
2348.2	0.2538	0.0000	0.5714	0.0000
4125.1	12.2368	12.2015	12.6177	3.6741
53947.1	2.3905	1.9594	3.4445	2.5159
51146.1	0.2141	0.0000	0.2798	0.0000
28.1	0.0099	0.0000	0.0213	0.0000
206358.1	3.7148	2.7994	1.8848	0.4715
6529.1	0.0301	0.0141	0.0643	0.0559
6538.1	0.0252	0.0218	0.0538	0.0000
6540.1	0.0943	0.0218	0.2548	0.0000
6539.1	0.3870	0.0073	0.6229	0.5194
38.1	5.9524	6.9709	5.2930	2.1609
3032.1	17.6531	27.7914	18.2324	4.8695
10449.1	4.6056	3.8039	3.4111	1.3517
3030.1	43.8131	46.7082	39.2145	9.3545
39.1	3.4445	4.6795	2.1799	2.2326
30.1	4.0254	5.4117	3.8803	0.5017
32.1	0.5184	0.6040	0.8262	0.1323
9197.1	2.1858	3.6595	1.3010	1.1679
84532.1	0.2205	0.6041	0.4717	0.0000
79611.1	0.0442	0.0000	0.0851	0.0000
64841.1	5.4590	8.4439	4.1694	1.8469
55577.1	10.4016	13.8153	7.2997	2.5283
5238.1	9.2841	9.2103	6.6584	4.7107
9487.1	2.3860	3.6870	3.1587	1.4686
162417.1	0.2986	0.4747	0.4790	0.0000
43.1	1.3775	0.4932	2.5842	1.2495
43.2	1.3775	0.4932	2.5842	1.2495
6572.1	0.0087	0.0000	0.0000	0.0000
47.1	73.9913	73.7270	55.4699	17.3990
47.2	73.9913	73.7270	55.4699	17.3990
54187.1	8.1824	10.0435	8.1743	3.3987
26503.1	5.9614	8.4209	5.2005	0.6848
140838.1	1.8864	3.6610	1.4207	2.6980
54.1	0.9656	0.2216	1.2969	0.3898
51205.1	0.5301	0.8915	0.5387	0.3669
36.1	3.1245	4.4032	2.0669	0.0000
34.1	4.2761	8.3701	3.7491	3.9561
80724.1	1.3679	1.7473	1.3419	0.0000
35.1	2.8955	3.3813	3.6581	0.0000
84129.1	0.0000	0.0027	0.0000	0.0000
27034.1	3.7465	5.7951	2.3865	0.3058
28976.1	10.2871	11.0055	9.2284	2.4745
3712.1	7.0449	7.6328	4.3241	0.3778
134526.1	0.0259	0.0158	0.0922	0.0000
51.1	5.1118	6.4257	3.9620	1.1006
51.2	5.1118	6.4257	3.9620	1.1006
95.1	0.2437	0.1875	0.2469	0.0000
50.1	20.4225	15.6396	20.5260	3.8003
48.1	13.1512	15.1378	12.0881	4.6099
8309.1	2.1342	3.8624	2.8021	0.0000
52.1	16.9218	24.0866	14.5995	6.6580
52.3	16.9218	24.0866	14.5995	6.6580
52.2	16.9218	24.0866	14.5995	6.6580
55.1	0.0553	0.0202	0.0322	0.0000
788.1	8.8421	8.1922	7.0696	5.5345
55902.1	4.0563	5.7287	4.9113	1.4259
65985.1	1.6609	1.2634	1.8337	0.2045
55902.2	4.0563	5.7287	4.9113	1.4259
438.1	0.0000	0.0000	0.0000	0.0000
1571.1	0.0876	0.0344	0.1592	0.0000
100.1	4.2467	5.7876	7.1405	0.9615
3177.1	0.7899	0.3481	1.6896	0.3025
205.3	0.4864	0.6522	4.3283	0.8323
205.1	0.4864	0.6522	4.3283	0.8323
204.1	13.6026	16.8648	13.2635	1.9302
204.3	13.6026	16.8648	13.2635	1.9302
204.2	13.6026	16.8648	13.2635	1.9302
205.2	0.4864	0.6522	4.3283	0.8323
26289.1	0.2192	0.2481	0.2409	0.0000
26289.2	0.2192	0.2481	0.2409	0.0000
50808.1	6.8035	14.6953	7.7084	2.0798
262.1	5.8186	9.1465	3.4873	2.3163
112.1	9.4323	9.3759	8.4538	2.9999
55811.1	0.1407	0.0589	0.3009	0.1340
109.1	3.5744	2.9751	4.2690	0.5885
112.2	9.4323	9.3759	8.4538	2.9999
114.1	0.0318	0.0077	0.0529	0.0000
108.1	0.0997	0.0000	0.1413	0.0938
113.1	0.7420	0.5504	0.9763	0.0318
107.1	0.1541	0.0222	0.2564	0.0000
196883.1	14.2513	17.2816	21.4075	5.2691
115.1	1.9909	1.2309	2.0531	0.3177
111.1	0.1899	0.0165	0.2894	0.0000
2030.1	90.8587	111.3941	82.7828	20.5695
9154.2	0.6665	0.0067	1.6348	0.0000
9154.1	0.6665	0.0067	1.6348	0.0000
64078.1	0.0291	0.0000	0.0890	0.0000
9153.1	0.0203	0.0000	0.0434	0.0000
55315.1	4.1123	2.7307	3.6091	0.8174
11164.1	6.8290	9.5286	6.0841	1.7660
952.1	0.0369	0.0000	0.0920	0.0000
1375.1	0.0308	0.0694	0.0330	0.0000
1375.3	0.0308	0.0694	0.0330	0.0000
1375.4	0.0308	0.0694	0.0330	0.0000
126129.1	5.8550	7.8735	7.0071	1.3094
1374.1	47.1806	29.5722	33.5114	7.6442
1375.2	0.0308	0.0694	0.0330	0.0000
1376.1	2.2358	1.9445	0.7948	0.8063
9060.1	29.0599	32.7394	19.4211	9.2015
9061.1	30.5235	35.0410	24.9886	11.2752
158.1	10.5580	9.7890	9.5597	2.1424
158.2	10.5580	9.7890	9.5597	2.1424
79369.1	0.2425	0.0345	0.4419	0.0000
10678.1	6.0666	8.0244	3.6220	1.0544
11041.1	6.0666	8.0244	3.6220	1.0544
146712.1	0.6816	1.1586	0.5492	0.5173
374907.1	1.1240	1.7049	1.4906	1.3170
93010.1	0.4483	0.0910	0.6629	0.0000
374907.2	1.1240	1.7049	1.4906	1.3170
10678.2	6.0666	8.0244	3.6220	1.0544
10331.1	0.6591	0.0201	1.3902	0.2384
79814.1	0.3117	0.1355	0.4686	0.2194
10555.1	15.7684	12.4946	19.6457	4.1181
137964.1	8.6175	6.9483	7.0655	3.5579
56895.1	1.7319	2.6409	2.6101	0.5942
56894.2	6.6309	5.9145	5.6558	2.0150
56894.1	6.6309	5.9145	5.6558	2.0150
55326.1	4.0517	8.2462	3.3762	2.0491
10554.1	6.9265	6.6578	5.7699	2.7944
129642.1	1.2402	2.0153	1.7463	0.5611
64902.1	0.1066	0.0000	0.1368	0.0000
64850.1	0.1071	0.0809	0.2291	0.0000
189.1	0.6188	0.0000	1.5257	0.6765
3073.1	0.9821	1.4475	1.1754	0.4349
3074.1	15.8674	35.1165	15.1961	8.3888
10606.1	21.6262	42.6672	21.1357	6.1139
8402.1	17.4333	21.4264	14.3317	3.5961
1468.1	1.8082	0.7813	0.9626	0.0000
64849.1	0.1705	0.0776	0.3274	0.0000
64849.2	0.1705	0.0776	0.3274	0.0000
1645.1	0.3219	0.4052	0.3162	0.0621
1109.1	0.0330	0.0000	0.0000	0.0000
6718.1	0.0817	0.0124	0.2622	0.0000
6510.1	28.5737	17.3362	18.7683	7.8187
6509.1	2.8716	2.4176	1.8180	0.4347
56301.1	0.6026	0.0099	1.5641	0.2644
6520.1	45.6013	42.6008	38.3113	13.3462
212.1	0.0197	0.0000	0.0000	0.0000
23464.1	7.3983	7.4427	7.7304	0.7820
211.2	29.6187	36.9156	22.0299	7.1370
211.1	29.6187	36.9156	22.0299	7.1370
54407.1	128.1686	98.5526	218.7493	90.1784
6542.1	56.4708	11.5507	49.5744	17.7271
11254.1	0.0233	0.0000	0.0498	0.0000
6541.1	25.6367	13.3559	17.8649	6.0608
81539.1	4.3095	8.9995	3.8734	1.2048
55089.1	0.1779	0.0501	0.0217	0.0000
84889.1	0.0279	0.0000	0.1194	0.0000
340024.1	0.0359	0.0000	0.1281	0.0000
57393.1	0.0400	0.0634	0.0571	0.1738
