ModelGeneID	5h-OKF6.uninfected.sc.rep1	5h-OKF6.uninfected.sc.rep2	5h-OKF6.infected-Candida.SC5314.rep1	5h-OKF6.infected-Candida.SC5314.rep2
8639.1	1.4336	0.2235	1.7019	0.1096
26.1	0.6259	0.0303	0.8082	0.0378
314.2	2.3344	0.9766	1.8774	0.6452
314.1	2.3344	0.9766	1.8774	0.6452
1591.1	1.9892	0.5750	2.4571	0.1560
1594.1	20.0130	18.2373	16.8807	20.7457
10993.1	0.6164	0.0527	0.9199	0.0275
6818.1	0.0402	0.0024	0.0000	0.0000
89874.1	0.0717	0.1019	0.0324	0.1193
92483.1	0.1976	0.1979	0.9608	0.6832
3948.2	0.4545	0.0116	0.5176	0.0394
55293.1	3.2433	4.6242	3.3623	5.5543
3945.1	203.7251	263.5267	162.4058	216.9287
3939.1	132.4116	120.9210	245.4572	321.1562
160287.1	0.2189	0.0636	0.3145	0.0000
3948.1	0.4545	0.0116	0.5176	0.0394
9123.1	49.0664	39.1789	43.8462	47.1852
9194.1	0.2053	0.7252	0.2460	1.1322
6566.1	36.8894	54.5970	48.8103	86.3981
57835.3	0.0641	0.0433	0.1081	0.1107
8671.1	0.1631	0.2491	0.1621	0.1038
57835.2	0.0641	0.0433	0.1081	0.1107
57835.1	0.0641	0.0433	0.1081	0.1107
57835.4	0.0641	0.0433	0.1081	0.1107
4967.2	21.6849	21.7795	14.9888	13.9145
1738.1	12.6909	16.1152	12.2172	13.2650
8050.1	5.5716	7.3415	6.1430	6.6362
1743.1	26.3303	22.4762	30.4943	27.5468
4967.1	21.6849	21.7795	14.9888	13.9145
130.1	0.4503	0.3847	1.0718	0.4975
127.1	0.0210	0.0447	0.0442	0.0000
125.1	0.0158	0.0037	0.0083	0.0000
124.1	0.0798	0.0432	0.0720	0.0000
131.1	0.0000	0.0020	0.0000	0.0000
126.1	0.0277	0.0065	0.0000	0.0000
128.1	16.3854	17.3515	17.9508	15.8504
137872.1	1.0569	0.3037	1.3447	0.4847
1312.1	37.0960	26.5175	26.1655	21.9955
1312.2	37.0960	26.5175	26.1655	21.9955
117247.1	0.1054	0.0016	0.1496	0.0055
218.1	5.8068	1.4147	4.0271	1.0228
222.1	1.1933	1.4159	2.2794	0.4406
220.1	214.0994	199.5768	213.0759	180.1746
221.1	1.2895	0.4320	1.0801	0.2774
3242.1	1.1069	0.0464	2.2592	0.0463
18.1	0.7897	0.4407	0.7289	0.2162
18.2	0.7897	0.4407	0.7289	0.2162
2531.1	12.3901	11.5575	13.7725	16.9479
23498.1	1.5106	0.0246	3.1028	0.0152
55268.1	4.0611	4.1755	2.9190	2.0991
51166.1	1.5454	2.0698	1.3641	0.8869
883.1	5.1629	2.2807	5.4310	2.1488
51166.2	1.5454	2.0698	1.3641	0.8869
1644.1	0.1641	0.0078	0.1383	0.0066
4128.1	8.2218	9.8085	7.3660	9.7075
4129.1	0.0623	0.0611	0.0750	0.0000
10165.1	11.2727	14.4590	9.9818	11.6918
8604.1	3.6994	5.2826	3.2308	2.6734
51380.1	4.8717	3.3243	6.0519	3.4348
2571.1	0.0968	0.0562	0.0987	0.0301
2572.1	0.0335	0.0000	0.0000	0.0000
2571.2	0.0968	0.0562	0.0987	0.0301
2805.1	23.1351	22.0168	19.5944	20.3233
2806.1	46.4224	39.9468	36.7274	28.5372
8659.1	2.6511	3.1305	2.0871	1.6462
8659.2	2.6511	3.1305	2.0871	1.6462
6799.1	2.0250	0.3213	1.8113	0.4358
6817.3	5.4656	1.9704	4.5280	3.9786
6799.2	2.0250	0.3213	1.8113	0.4358
6818.2	0.0402	0.0024	0.0000	0.0000
6817.2	5.4656	1.9704	4.5280	3.9786
6817.1	5.4656	1.9704	4.5280	3.9786
6817.4	5.4656	1.9704	4.5280	3.9786
6818.3	0.0402	0.0024	0.0000	0.0000
6817.5	5.4656	1.9704	4.5280	3.9786
4363.1	18.5607	21.6571	17.0999	21.3809
6822.1	0.4922	0.0000	0.6003	0.0000
6573.1	3.1146	3.5159	1.4888	1.1570
6573.2	3.1146	3.5159	1.4888	1.1570
316.1	5.6281	7.0578	5.0551	4.5170
6570.1	0.0987	0.0000	0.0693	0.0158
6571.1	0.4555	0.0458	0.5652	0.0150
2348.5	0.5222	0.0425	0.6876	0.0131
2348.3	0.5222	0.0425	0.6876	0.0131
2348.1	0.5222	0.0425	0.6876	0.0131
2348.6	0.5222	0.0425	0.6876	0.0131
2352.1	0.3318	2.0856	1.0875	2.6929
2348.4	0.5222	0.0425	0.6876	0.0131
2348.2	0.5222	0.0425	0.6876	0.0131
4125.1	13.8739	13.6643	9.2519	7.8487
53947.1	1.7315	0.2028	2.0818	0.4843
51146.1	0.2180	0.0103	0.1837	0.0000
28.1	0.0081	0.0000	0.0085	0.0000
206358.1	5.3574	5.2689	3.6432	3.0421
6529.1	0.0420	0.0000	0.0221	0.0000
6538.1	0.9718	3.0055	0.8821	2.5126
6540.1	0.1092	0.0100	0.2684	0.0682
6539.1	0.5800	0.0069	0.7086	0.0313
38.1	5.2680	5.3306	6.9037	5.0122
3032.1	27.6004	28.7440	27.9335	34.2796
10449.1	5.6273	3.1896	6.9486	3.9055
3030.1	62.2507	60.0142	67.4514	58.2487
39.1	22.6952	24.3963	21.5417	24.4754
30.1	5.4906	5.5192	5.8066	4.9241
32.1	0.7789	0.2536	0.9382	0.0940
9197.1	3.5743	6.8944	2.8048	4.7246
84532.1	1.9071	1.0856	1.6345	0.3589
79611.1	0.0288	0.0051	0.0758	0.0000
64841.1	4.6992	8.4732	4.1520	7.7130
55577.1	6.2966	6.6347	6.5718	6.2868
5238.1	5.3613	6.0012	4.9600	5.8855
9487.1	2.6522	2.0896	3.2557	2.1990
162417.1	0.4286	0.2288	0.5380	0.0878
43.1	1.5589	0.0424	2.6449	0.0388
43.2	1.5589	0.0424	2.6449	0.0388
6572.1	0.0000	0.0025	0.0000	0.0000
47.1	61.9458	71.6176	42.1435	41.2399
47.2	61.9458	71.6176	42.1435	41.2399
54187.1	9.3805	5.9684	8.2839	5.0989
26503.1	2.4137	2.5621	2.7682	3.5247
140838.1	3.0385	2.6798	2.6809	1.7039
54.1	2.3505	0.8160	3.7765	1.1524
51205.1	0.8521	0.4100	0.7390	0.1744
36.1	0.9503	1.3212	1.0227	1.0136
34.1	4.4499	8.5118	5.4753	7.7000
80724.1	2.7145	2.1251	2.5377	1.4941
35.1	2.1771	1.2030	2.1704	0.4524
84129.1	0.0045	0.0193	0.0000	0.0146
27034.1	4.8359	5.1969	3.5824	3.1211
28976.1	12.7085	11.8493	10.3474	6.3369
3712.1	4.1325	3.3387	2.4317	1.6915
134526.1	0.1053	0.0025	0.0444	0.0000
51.1	3.0105	3.8492	2.6368	3.0306
51.2	3.0105	3.8492	2.6368	3.0306
95.1	1.2692	0.6100	1.3039	0.2075
50.1	23.5264	26.3307	18.6235	21.8415
48.1	10.7919	7.4574	8.0953	4.4865
8309.1	0.3335	0.1278	0.1827	0.0000
52.1	15.3366	19.3826	17.6346	15.8244
52.3	15.3366	19.3826	17.6346	15.8244
52.2	15.3366	19.3826	17.6346	15.8244
55.1	0.5586	0.3995	0.6853	0.5123
788.1	6.9470	6.2661	3.8025	2.5846
55902.1	10.3280	6.3443	9.5653	6.2907
65985.1	3.2862	3.0833	2.9175	2.1472
55902.2	10.3280	6.3443	9.5653	6.2907
438.1	0.0000	0.0000	0.0000	0.0000
1571.1	0.1873	0.0120	0.1578	0.0129
100.1	9.3218	5.2281	8.9923	4.8887
3177.1	4.2484	1.6302	3.4685	1.0556
205.3	5.2811	6.5370	10.6108	8.4552
205.1	5.2811	6.5370	10.6108	8.4552
204.1	19.4008	19.3917	20.5603	17.1264
204.3	19.4008	19.3917	20.5603	17.1264
204.2	19.4008	19.3917	20.5603	17.1264
205.2	5.2811	6.5370	10.6108	8.4552
26289.1	0.1227	0.0018	0.1724	0.0000
26289.2	0.1227	0.0018	0.1724	0.0000
50808.1	3.2034	3.5339	3.3502	3.2345
262.1	13.1533	22.9991	12.7480	16.6600
112.1	3.5437	2.8282	3.5395	2.0901
55811.1	0.2390	0.0417	0.4063	0.0000
109.1	8.0293	7.5297	6.3009	5.0292
112.2	3.5437	2.8282	3.5395	2.0901
114.1	0.0259	0.0031	0.0455	0.0000
108.1	0.1291	0.0014	0.2071	0.0000
113.1	2.6542	2.2966	2.8398	1.8884
107.1	0.1845	0.0284	0.2124	0.0214
196883.1	0.7625	0.0234	1.3174	0.0051
115.1	2.3157	2.0775	2.2456	0.9432
111.1	0.2494	0.0529	0.3789	0.0140
2030.1	29.4427	31.6187	19.2121	20.0421
9154.2	0.9936	0.0035	1.3850	0.0000
9154.1	0.9936	0.0035	1.3850	0.0000
64078.1	0.2338	0.5486	0.3320	0.4161
9153.1	0.0744	0.0023	0.0940	0.0000
55315.1	1.2945	0.3812	1.2121	0.1308
11164.1	15.7350	16.0541	11.7082	13.4143
952.1	0.0976	0.0018	0.1266	0.0211
1375.1	0.1129	0.1039	0.0793	0.0453
1375.3	0.1129	0.1039	0.0793	0.0453
1375.4	0.1129	0.1039	0.0793	0.0453
126129.1	1.5624	0.1049	2.4595	0.0634
1374.1	27.0496	14.4104	16.3445	10.2759
1375.2	0.1129	0.1039	0.0793	0.0453
1376.1	3.0193	3.2434	1.5624	0.8503
9060.1	1.2607	2.2406	1.0624	1.5480
9061.1	20.9117	23.8558	17.6161	18.5770
158.1	9.0845	8.5329	6.8064	4.6578
158.2	9.0845	8.5329	6.8064	4.6578
79369.1	0.7079	0.3922	1.1908	0.7575
10678.1	8.8696	15.1666	8.5661	29.1387
11041.1	8.8696	15.1666	8.5661	29.1387
146712.1	0.5005	0.3182	0.5193	0.2938
374907.1	0.3296	0.9848	0.4051	0.7716
93010.1	0.4598	0.0064	0.8120	0.0000
374907.2	0.3296	0.9848	0.4051	0.7716
10678.2	8.8696	15.1666	8.5661	29.1387
10331.1	13.6567	11.1257	7.5639	4.4435
79814.1	0.9265	0.5141	0.9543	0.1983
10555.1	27.1391	23.2356	21.3201	20.3799
137964.1	8.3151	7.2371	6.9320	8.4558
56895.1	2.4477	1.8066	2.6340	3.3213
56894.2	5.2562	4.1600	4.0847	2.0608
56894.1	5.2562	4.1600	4.0847	2.0608
55326.1	10.6759	17.1245	9.4110	12.0388
10554.1	7.2155	6.2754	4.0019	2.9354
129642.1	6.1050	12.7419	7.7343	13.6053
